cluster_id,cluster_name,cluster_size,per_cluster_silhouette,sample_rank,headline,summary,source,published,judge_coherent,judge_notes
6,Gold Prices,7,0.6609,4,"ราคาทองวันนี้ (16 เม.ย. 69) คงที่ ทองรูปพรรณบาทละ 73,700 บาท","<p>อัพเดตล่าสุด 16 เมษายน 2569 เวลา 15.11 น. ราคาทองวันนี้ [&#8230;]</p>
<p>อ่านข่าวต้นฉบับ: <a href=""https://www.prachachat.net/finance/news-1993308"" rel=""nofollow"">ราคาทองวันนี้ (16 เม.ย. 69) คงที่ ทองรูปพรรณบาทละ 73,700 บาท</a></p>",Prachachat,"Thu, 16 Apr 2026 09:41:25 +0000",YES,"All headlines consistently report on the fluctuations in gold prices, indicating a clear focus on the topic of gold prices."
6,Gold Prices,7,0.6609,5,"เช็กราคาทองวันนี้ ปรับขึ้น 100 บาท ทองรูปพรรณบาทละ 73,700 บาท","เช็กราคาทองวันนี้ ปรับขึ้น 100 บาท ทองรูปพรรณบาทละ 73,7 [&#8230;]",Matichon Economy,"Thu, 16 Apr 2026 04:05:47 +0000",YES,"All headlines consistently report on the fluctuations in gold prices, indicating a clear focus on the topic of gold prices."
7,Drought Crisis,2,0.8295,1,ไทยเสี่ยงวิกฤตแล้ง มีน้ำใช้ได้ 47% ภาคกลาง น่าห่วงเหลือแค่ 39%,ไทยเสี่ยงวิกฤตแล้ง มีน้ำใช้ได้ 47% ภาคกลาง น่าห่วงเหลือ [&#8230;],Matichon Economy,"Wed, 15 Apr 2026 02:42:10 +0000",YES,"Both headlines discuss the risk of drought in Thailand and provide statistics on water availability, indicating they are clearly related to the same topic."
7,Drought Crisis,2,0.8295,2,ไทยเสี่ยงวิกฤตแล้ง มีน้ำใช้ได้ 46% ‘กลาง-ตะวันออก’ ยังน่าห่วง เขื่อนป่าสักเหลือน้ำ 28%,ไทยเสี่ยงวิกฤตแล้ง มีน้ำใช้ได้ 46% &#8216;กลาง-ตะวันออก [&#8230;],Matichon Economy,"Thu, 16 Apr 2026 00:47:30 +0000",YES,"Both headlines discuss the risk of drought in Thailand and provide statistics on water availability, indicating they are clearly related to the same topic."
8,Asian AI Stocks,2,0.3219,1,Asia’s inexpensive AI stocks should worry American investors,"Tech mania looks very different in Japan, South Korea and Taiwan",The Economist,"Wed, 10 Dec 2025 19:18:39 +0000",YES,"Both headlines discuss the impact of AI on Asian stocks, indicating a clear connection to the topic of Asian AI stocks."
8,Asian AI Stocks,2,0.3219,2,Japanese stocks hit new high as AI boosts tech heavy Asian markets,Japanese stocks hit new high as AI boosts tech heavy Asian markets,Nikkei Asia,2026-04-16T22:13:47.568375,YES,"Both headlines discuss the impact of AI on Asian stocks, indicating a clear connection to the topic of Asian AI stocks."
9,New Tires,2,0.6614,1,ทดสอบประสิทธิภาพยางใหม่สามรุ่นใน Continental Experience 2025,ทดสอบสมรรถนะยางรุ่นใหม่ล่าสุด “UltraContact UX7” ยางสปอร์ตเอสยูวี “SportContact 7”  ยางสปอร์ตสมรรถนะสูง “MaxContact MC7”,Thairath Business,"Wed, 09 Jul 2025 09:00:00 +0700",YES,"Both headlines focus on the introduction and testing of new tire models by Continental, making them clearly related to the topic of new tires."
9,New Tires,2,0.6614,2,คอนติเนนทอล แนะนำยางใหม่สามรุ่น UltraContact UX7 /SportContact 7/ MaxContact MC7,Continental UltraContact UX7 ยางที่พัฒนาขึ้นสำหรับรถเอสยูวีที่มีขนาดใหญ่ น้ำหนักมากกว่ารถซีดานทั่วไป ออกแบบลายดอกยาง เทคนิคการผสมเนื้อยาง และการขึ้นรูปแบบใหม่ เน้นความปลอดภัย  ทนทาน  เงียบ ในการขับเคลื่อนรถเอสยูวี Continental SportContact 7 ยางสมรรถนะสูง (ยางสปอร์ต)  ตอบโจทย์ยานพาหนะที่มีศักยภาพด้าน,Thairath Business,"Tue, 08 Jul 2025 10:00:00 +0700",YES,"Both headlines focus on the introduction and testing of new tire models by Continental, making them clearly related to the topic of new tires."
10,Global Trade,2,0.5242,1,Why Donald Trump’s tariffs are failing to break global trade,"Six months on from “Liberation Day”, things look surprisingly rosy",The Economist,"Wed, 08 Oct 2025 18:20:12 +0000",YES,"Both headlines discuss the effects of Donald Trump's trade policies on global trade, making them relevant to the cluster."
10,Global Trade,2,0.5242,2,“Liberation Day” has reshaped trade—but not as Donald Trump hoped,"In many ways, global commerce has strengthened",The Economist,"Wed, 01 Apr 2026 11:00:11 +0000",YES,"Both headlines discuss the effects of Donald Trump's trade policies on global trade, making them relevant to the cluster."
11,Economic Risks,2,0.5871,1,"JPMorgan tops estimates on Wall Street results, Dimon flags 'increasingly complex' economic risks","JPMorgan CEO Jamie Dimon called the economy resilient, but pointed to an ""increasingly complex set of risks"" across global markets.",CNBC Finance,"Tue, 14 Apr 2026 13:14:08 GMT",YES,"Both headlines discuss economic risks as identified by JPMorgan's CEO, making them clearly related to the same topic."
11,Economic Risks,2,0.5871,2,"JPMorgan CEO Jamie Dimon in annual letter cites risks in geopolitics, AI and private markets",JPMorgan CEO Jamie Dimon in his annual letter to shareholders noted the country's 250th anniversary and called for a broad recommitment to American ideals.,CNBC Finance,"Mon, 06 Apr 2026 11:55:38 GMT",YES,"Both headlines discuss economic risks as identified by JPMorgan's CEO, making them clearly related to the same topic."
12,Interest Rates,2,0.6147,1,Trump’s interest-rate crusade will be self-defeating,New research shows the importance of central-bank credibility,The Economist,"Thu, 28 Aug 2025 10:00:48 +0000",YES,All headlines clearly share the same specific topic regarding interest rates and Trump's stance on them.
12,Interest Rates,2,0.6147,2,Trump’s interest-rate crusade will be self-defeating,The president’s threats loomed over this year’s Jackson Hole conference,The Economist,"Mon, 25 Aug 2025 17:55:29 +0000",YES,All headlines clearly share the same specific topic regarding interest rates and Trump's stance on them.
13,New AI Model,2,0.8069,1,"Anthropic rolls out Claude Opus 4.7, an AI model that is 'less broadly capable' than Mythos",Claude Mythos Preview is Anthropic's most powerful AI model that excels at identifying weaknesses and security flaws within software.,CNBC Top News,"Thu, 16 Apr 2026 15:14:02 GMT",YES,"Both headlines focus on the same AI model, Claude Opus 4.7, and its capabilities in comparison to another model, Mythos."
13,New AI Model,2,0.8069,2,"Anthropic unveils AI model Claude Opus 4.7, second most powerful after Mythos","Anthropic unveils AI model Claude Opus 4.7, second most powerful after Mythos",Seeking Alpha Markets,"Thu, 16 Apr 2026 11:09:02 -0400",YES,"Both headlines focus on the same AI model, Claude Opus 4.7, and its capabilities in comparison to another model, Mythos."
14,Crypto Trading,2,0.6174,1,"Charles Schwab to launch direct bitcoin, ethereum trading to compete with Robinhood","Charles Schwab is rolling out crypto trading, allowing clients to buy bitcoin and ether through a new arm called Schwab Crypto.",CNBC Top News,"Thu, 16 Apr 2026 15:13:30 GMT",YES,"Both headlines clearly focus on Charles Schwab's initiative to offer trading in bitcoin and ethereum, making them well-aligned with the topic of crypto trading."
14,Crypto Trading,2,0.6174,2,Charles Schwab To Launch Bitcoin And Ethereum Trading,Charles Schwab To Launch Bitcoin And Ethereum Trading,Yahoo Finance,2026-04-16T14:42:00Z,YES,"Both headlines clearly focus on Charles Schwab's initiative to offer trading in bitcoin and ethereum, making them well-aligned with the topic of crypto trading."
15,Europe Jet Fuel Shortage,3,0.6099,1,IEA chief warns that Europe will run out of jet fuel in six weeks. Two carriers just cut flights from their schedules.,Lufthansa and KLM have both announced flight cuts for the summer season,MarketWatch,"Thu, 16 Apr 2026 15:02:00 GMT",YES,All headlines clearly discuss the jet fuel shortage in Europe and its potential impact on flights.
15,Europe Jet Fuel Shortage,3,0.6099,2,"Europe could run out of jet fuel in 6 weeks, IEA warns",The International Energy Agency warned Thursday that Europe is going to run out of jet fuel in as soon as six weeks.,CNBC Top News,"Thu, 16 Apr 2026 14:38:42 GMT",YES,All headlines clearly discuss the jet fuel shortage in Europe and its potential impact on flights.
15,Europe Jet Fuel Shortage,3,0.6099,3,"Europe running low on jet fuel, stoking fears of flight cancellations","Europe has “maybe 6 weeks or so [of] jet fuel left”, the head of the International Energy Agency said on Thursday in a wide-ranging interview, warning of possible flight cancellations “soon” if oil supplies remain blocked by the Iran war.
IEA executive director Fatih Birol painted a sobering picture",SCMP Business,"Thu, 16 Apr 2026 11:44:20 +0000",YES,All headlines clearly discuss the jet fuel shortage in Europe and its potential impact on flights.
16,Crypto Recovery,2,0.5986,1,Hacked Crypto Platform to Relaunch After Securing New Funding,"Decentralized finance platform Drift Protocol, the victim of an exploit earlier this month where hackers stole approximately $285 million of users’ cryptocurrency, plans to relaunch after securing around $150 million in funding from a consortium led by stablecoin issuer Tether Holdings SA.",Bloomberg Markets,"Thu, 16 Apr 2026 14:32:18 GMT",PARTIAL,"While both headlines relate to funding in the crypto space, the second headline focuses on a specific stablecoin replacement after an exploit, which slightly diverges from the broader theme of recovery."
16,Crypto Recovery,2,0.5986,2,Drift gets $148 million funding from Tether and partners as it replaces Circle stablecoin with USDT after massive exploit,,CoinDesk,"Thu, 16 Apr 2026 13:00:00 +0000",PARTIAL,"While both headlines relate to funding in the crypto space, the second headline focuses on a specific stablecoin replacement after an exploit, which slightly diverges from the broader theme of recovery."
17,Money Management,2,0.3589,1,"People are actively managing their money more than ever, Charles Schwab says","Charles Schwab’s stock was leading the S&amp;P 500’s decliners Thursday. Revenue rose to a quarterly record amid record trading activity, but missed expectations.",MarketWatch,"Thu, 16 Apr 2026 14:30:00 GMT",PARTIAL,"While the first headline focuses on active money management, the second headline is more about stock performance and earnings, making it feel slightly out of place."
17,Money Management,2,0.3589,2,Charles Schwab Stock Slides In Base Despite Record Earnings Report,Charles Schwab Stock Slides In Base Despite Record Earnings Report,Yahoo Finance,2026-04-16T13:56:26Z,PARTIAL,"While the first headline focuses on active money management, the second headline is more about stock performance and earnings, making it feel slightly out of place."
18,Iran Situation,3,0.3374,1,"Defiant Iran Reasserts Toll System, Paid Through Iranian Banks After US Vows Hormuz Blockade Stays ""As Long As It Takes""","<span class=""field field--name-title field--type-string field--label-hidden"">Defiant Iran Reasserts Toll System, Paid Through Iranian Banks After US Vows Hormuz Blockade Stays ""As Long As It Takes""</span>

            <div class=""clearfix text-formatted field field--name-body field--type-text-with-s",Zero Hedge,"Thu, 16 Apr 2026 14:10:00 +0000",YES,All headlines discuss Iran's response to U.S. actions and the implications for its economy and regional stability.
18,Iran Situation,3,0.3374,2,Trump's Blockade Is Breaking Iran... And European Elites Are Angry,"<span class=""field field--name-title field--type-string field--label-hidden"">Trump's Blockade Is Breaking Iran... And European Elites Are Angry</span>

            <div class=""clearfix text-formatted field field--name-body field--type-text-with-summary field--label-hidden field__item""><p><a href=""ht",Zero Hedge,"Thu, 16 Apr 2026 11:25:00 +0000",YES,All headlines discuss Iran's response to U.S. actions and the implications for its economy and regional stability.
18,Iran Situation,3,0.3374,3,"Iran Halts All Petrochem Exports While Official Signals Compromise Strait Passage Opening, As Negotiators Cite 'Progress'","<span class=""field field--name-title field--type-string field--label-hidden"">Iran Halts All Petrochem Exports While Official Signals Compromise Strait Passage Opening, As Negotiators Cite 'Progress'</span>

            <div class=""clearfix text-formatted field field--name-body field--type-text-with-",Zero Hedge,"Thu, 16 Apr 2026 07:15:00 +0000",YES,All headlines discuss Iran's response to U.S. actions and the implications for its economy and regional stability.
19,TSMC Growth,2,0.6538,1,"TSMC first-quarter profit rises 58%, beats estimates as AI demand fuels record run","TSMC reported another quarter of record profit, with the company expecting AI demand to continue to grow.",CNBC Top News,"Thu, 16 Apr 2026 12:23:25 GMT",YES,"Both headlines discuss TSMC's profit increase and revenue targets, clearly relating to the company's growth in the context of AI demand."
19,TSMC Growth,2,0.6538,2,"TSMC targets over 30% revenue surge in 2026, ramps up capex amid booming AI demand","Taiwan Semiconductor Manufacturing Co (TSMC) expects a revenue surge of more than 30 per cent in 2026 as the world’s largest contract chipmaker “pulls in all equipment” to ramp up supply, as management downplayed the impact of memory price hikes and Middle East tensions.
During its first-quarter ear",SCMP Business,"Thu, 16 Apr 2026 11:07:11 +0000",YES,"Both headlines discuss TSMC's profit increase and revenue targets, clearly relating to the company's growth in the context of AI demand."
20,ADF Earnings Performance,2,0.6072,1,"ADF Group GAAP EPS of $0.93, revenue of $258.7M","ADF Group GAAP EPS of $0.93, revenue of $258.7M",Seeking Alpha Markets,"Thu, 16 Apr 2026 11:09:04 -0400",YES,Both headlines are directly related to ADF Group's financial performance and earnings announcements.
20,ADF Earnings Performance,2,0.6072,2,ADF Group Q4 Earnings Call Highlights,ADF Group Q4 Earnings Call Highlights,Yahoo Finance,2026-04-16T15:07:22Z,YES,Both headlines are directly related to ADF Group's financial performance and earnings announcements.
21,Tokenized Deposit Trials,2,0.6811,1,South Korea to pilot tokenized deposits for government spending,"<p style=""float: right; margin: 0 0 10px 15px; width: 240px;""><img alt=""South Korea to pilot tokenized deposits for government spending"" class=""type:primaryImage"" src=""https://images.cointelegraph.com/images/528_aHR0cHM6Ly9zMy5jb2ludGVsZWdyYXBoLmNvbS91cGxvYWRzLzIwMjYtMDQvMDE5ZDk1NGQtMDU3ZC03MzM3LTky",CoinTelegraph,"Thu, 16 Apr 2026 09:50:58 +0100",YES,"Both headlines clearly focus on South Korea's efforts to implement tokenized deposits for government spending, making them closely related."
21,Tokenized Deposit Trials,2,0.6811,2,South Korea to test blockchain deposit tokens for government spending in Q4,,CoinDesk,"Thu, 16 Apr 2026 09:37:48 +0000",YES,"Both headlines clearly focus on South Korea's efforts to implement tokenized deposits for government spending, making them closely related."
22,China Economic Growth,3,0.5576,1,China economic growth accelerates to 5% in first quarter — but Iran war clouds outlook,"Beijing had lowered its growth target this year to a range of 4.5% to 5%, the least ambitious goal on record going back to the early 1990s.",CNBC Top News,"Thu, 16 Apr 2026 09:17:46 GMT",PARTIAL,"While all headlines focus on China's economic growth, the mention of the Iran war in each headline introduces a geopolitical aspect that slightly diverges from the core topic of economic growth."
22,China Economic Growth,3,0.5576,2,China beats expectations with 5% growth in first GDP release since Iran war,"China’s economy grew 5 per cent year on year in the first quarter, beating market expectations despite the global impact of the US-Israel war in Iran, which analysts said indicates the country remains on track to meet its full-year growth target without the need for near-term stimulus.
The closely w",SCMP Asia,"Thu, 16 Apr 2026 02:00:21 +0000",PARTIAL,"While all headlines focus on China's economic growth, the mention of the Iran war in each headline introduces a geopolitical aspect that slightly diverges from the core topic of economic growth."
22,China Economic Growth,3,0.5576,3,China's GDP growth accelerates to 5% despite Iran war,China's GDP growth accelerates to 5% despite Iran war,Nikkei Asia,2026-04-16T22:13:47.568375,PARTIAL,"While all headlines focus on China's economic growth, the mention of the Iran war in each headline introduces a geopolitical aspect that slightly diverges from the core topic of economic growth."
23,Yuan Stablecoin,2,0.7085,1,Circle CEO says China could launch yuan stablecoin within 3 to 5 years as currency race heats up,,CoinDesk,"Thu, 16 Apr 2026 09:12:40 +0000",YES,"Both headlines discuss the timeline and implications of a yuan stablecoin, making them clearly related to the same topic."
23,Yuan Stablecoin,2,0.7085,2,China Expected To Launch Yuan Stablecoin Within Five Years,China Expected To Launch Yuan Stablecoin Within Five Years,Yahoo Finance,2026-04-16T14:13:00Z,YES,"Both headlines discuss the timeline and implications of a yuan stablecoin, making them clearly related to the same topic."
